email,label
"Dear user, your account has been suspended. Please verify your account by clicking the link below.",1
"Your package has been shipped. Track it here: https://tracking.example.com",0
"Urgent: Your bank account will be locked unless you confirm your details.",1
"Hi John, please find attached the report you requested.",0
"Congratulations! You have won a $1000 gift card. Claim now!",1
"Meeting rescheduled to Tuesday at 3 PM.",0
"Verify your email to avoid service disruption.",1
"Your subscription has been renewed successfully.",0
"Password reset request detected. Click here to reset.",1
"Lunch tomorrow at our usual place?",0
"Account verification needed immediately: http://fakebank.com/verify",1
"Monthly newsletter - latest updates from our company.",0
"Your invoice is attached. Please review.",0
"Confirm your identity to receive your reward.",1
"Reminder: Project deadline next week.",0
"Unusual login attempt detected. Secure your account now!",1
"Happy birthday! Enjoy a special discount just for you.",0
"Your credit card has been charged $499.99.",0
"Security alert: Your password was changed recently.",0
"Win a free iPhone by clicking this link.",1
"Team meeting agenda attached.",0
"Your PayPal account has been limited. Verify now.",1
"Thanks for your purchase. Your receipt is attached.",0
"Important: Update your billing information.",1
"See you at the conference next month.",0
"Urgent: Confirm your social security number.",1
"Weekly report: Sales numbers are up by 15%.",0
"Account temporarily disabled. Reactivate immediately.",1
"Your flight itinerary and boarding pass attached.",0
"Please update your account details immediately.",1
"Happy holidays from our team!",0
"Your loan application status has changed.",0
"Suspicious activity detected. Verify your identity.",1
"Invoice for your recent order.",0
"Congratulations, youâ€™re selected for a special prize!",1
"Meeting notes from yesterday.",0
"Alert: Your account will be closed soon.",1
"Your package is out for delivery.",0
"Security check required for your email account.",1
"Join us for the annual company picnic.",0
"Your subscription payment failed. Update your details.",1
"Project kickoff meeting tomorrow.",0
"Immediate action required: Password reset.",1
"Thank you for your feedback!",0
"Update your payment method to continue service.",1
"Draft of the proposal attached.",0
"Unauthorized login attempt. Change your password.",1
"Your refund has been processed.",0
"Claim your prize by clicking here.",1
"Team lunch scheduled for Friday.",0
"Account verification required to prevent suspension.",1
"Your order has been shipped.",0
"Urgent: Verify your bank account details.",1
"Happy anniversary! Here's a special offer for you.",0
"Password successfully changed.",0
"Click here to claim your free vacation.",1
"Minutes from the last meeting.",0
"Your account is on hold due to suspicious activity.",1
"Thank you for attending the webinar.",0
"Verify your identity to unlock your account.",1
"Your subscription has been canceled.",0
"Get a free gift card now!",1
"Project timeline update.",0
"Action required: Confirm your email address.",1
"Quarterly financial report attached.",0
"Your account has been compromised. Reset password.",1
"Welcome to our newsletter!",0
"Earn $5000 a week from home.",1
"Please review the attached contract.",0
"Security alert: New device login detected.",1
"Invitation to join our loyalty program.",0
"Your credit report is ready.",0
"Your account will be suspended if not verified.",1
"Team building event next week.",0
"Update your profile to avoid interruption.",1
"Invoice overdue notice.",0
"Congratulations! You won a lottery prize.",1
"Monthly team performance report.",0
"Alert: Unusual activity detected in your account.",1
"Your order confirmation.",0
"Verify your account to claim your prize.",1
"Thank you for your continued support.",0
"Suspicious login detected. Secure your account.",1
"Your appointment is confirmed.",0
"Win a free tablet by clicking here.",1
"Project status update.",0
"Your account has been locked due to multiple failed login attempts.",1
"Newsletter: Top stories this week.",0
"Please confirm your payment details.",1
"Happy New Year from all of us!",0
"Urgent: Verify your phone number.",1
"Your receipt is attached.",0
"Congratulations, you've been selected for a free gift!",1
"Team meeting follow-up.",0
"Account closure warning. Verify now.",1
"Your recent purchase details.",0
"Security notice: Password reset requested.",1
"Reminder: Submit your timesheet.",0
"Claim your cash prize immediately.",1
"Project plan draft attached.",0
"Your account information has been updated.",0
"Alert: Suspicious email activity detected.",1
"Welcome to our new platform!",0
"Verify your details to continue using our services.",1
"Your refund request has been approved.",0
"Win big prizes by clicking here!",1
"Meeting rescheduled to next Monday.",0
"Security alert: Account recovery needed.",1
"Thank you for your order.",0
"Urgent: Your account will be deleted.",1
"Monthly newsletter from our team.",0
"Update payment info to avoid service interruption.",1
"Draft agenda for tomorrow's meeting.",0
"Your account has suspicious activity.",1
"Happy Easter wishes!",0
"Verify your identity for secure access.",1
"Invoice attached for your records.",0
"Congratulations! Claim your reward now.",1
"Weekly update from management.",0
"Account locked due to suspicious login.",1
"Your package delivery has been delayed.",0
"Security alert: Confirm your account.",1
"Thank you for joining our community!",0
"Urgent: Reset your password immediately.",1
"Meeting minutes from last week.",0
"Your payment has been processed.",0
"Win a new car! Click here!",1
"Project kickoff scheduled.",0
"Your account is temporarily suspended.",1
"Newsletter: Company updates.",0
"Verify your phone number to continue.",1
"Thank you for your donation.",0
"Alert: Account breach detected.",1
"Your subscription expires soon.",0
"Claim your exclusive offer today.",1
"Team goals for Q3.",0
"Your account activity report.",0
"Urgent: Confirm your billing details.",1
"Happy Thanksgiving!",0
"Verify now to prevent account suspension.",1
"Your recent transaction receipt.",0
"Congratulations! You are a lucky winner.",1
"Meeting agenda for Friday.",0
"Suspicious activity on your account.",1
"Your order has been shipped.",0
"Urgent: Update your account information.",1
"Thank you for your participation.",0
"Alert: Unauthorized access detected.",1
"Your monthly statement is ready.",0
"Win a free cruise! Click here.",1
"Team updates and announcements.",0
"Account verification required.",1
"Your password was changed successfully.",0
"Claim your bonus reward now.",1
"Meeting notes attached.",0
"Your account has been compromised.",1
"Happy holidays from all of us!",0
"Verify your email address to continue.",1
"Invoice for your recent purchase.",0
"Congratulations! You won a prize.",1
"Weekly report attached.",0
"Alert: Your account has suspicious activity.",1
"Your package has been delivered.",0
"Urgent: Confirm your identity.",1
"Thank you for your order.",0
"Security notice: Change your password.",1
"Project update and deadlines.",0
"Your account is locked. Verify now.",1
"Happy Mother's Day!",0
"Verify your contact details.",1
"Your subscription has been renewed.",0
"Claim your free gift card today!",1
"Meeting follow-up email.",0
"Your account recovery is required.",1
"Thank you for your feedback.",0
"Alert: Suspicious login detected.",1
"Your payment is successful.",0
"Win an all-expense-paid trip!",1
"Team meeting minutes.",0
"Account suspended due to security concerns.",1
"Your order confirmation.",0
"Urgent: Verify your phone number.",1
"Congratulations on your promotion!",0
"Verify your account now to avoid suspension.",1
"Your recent transaction was successful.",0
"Claim your reward by clicking here.",1
"Project timeline updated.",0
"Your account has suspicious login attempts.",1
"Thank you for your support.",0
"Security alert: Password change required.",1
"Your package has been dispatched.",0
"Win a free smartwatch now!",1
"Meeting scheduled for next week.",0
"Account locked due to suspicious activity.",1
